,LanguageCode,SKU,Text,Title
12356,en,DK211B006-802,"these shoes are stylist and look good with dresses or trousers , lovely",black swan
12727,en,AD113C00G-502,Great product packed very well fast delivery,brilliant
12909,en,NI554A001-302,"bag big enough to hold football in base and other items on top of it, along with outer pockets, can be made smaller with straps or lets you add extra by letting straps out, carries more than it looks like it will, fits well on back or over shoulder,",great bag
12974,en,PE121B02D-952,too small,too small
12979,en,AD554A002-002,"Item is as expacted,good size,and quality",nice original retro bag
13384,en,SE911D00N-202,"This product is really beautiful,it suit my dress.",My yellow shoe.
13405,en,TO211C006-102,comfy shoe looks good and the heel is just right.,satisfied customer
13600,en,RI111C009-802,"Managed to get these in the sale and I'm over the moon with them. I am normally a  size 7 so ordered a 7.5 glad I did as I got size 41 which fit perfectly. The quality is good and there really comfortable..
Highly recommended",A lovely boot
13786,en,VE121F04N-802,for XL far far too small,wish I was this small
13817,en,BU112X00M-702,"This is one of my alltime best buys todate,the stars speak for what I think about this product.I just love it.",Quality Trainers
13827,en,EL822X004-703,There is no minuses for this product. This jacket is light and worm.  Looks and fits very well. You cannot expect more. Element was always good.,This is great jacket
14033,en,CA512A007-702,too big,too big
14323,en,PA311X005-708,everything i wanted in a boot i have been trying to buy these boots for ages lovely quality many thanks,panama jack Caryn boots
14367,en,M5611X004-205,Because shoe is new it is a little tight at the toes and insole area,Right Size
14616,en,MU311C01J-102,"Boots are a bit cheap looking, they are slightly too narrow across the toes for me but I have wide feet
The laces are much longer than needed
Nice heel height & good enough to keep them",Grey boot
15056,en,ME421G007-503,"Wow, this coat does turn heads!  Yes, it is pricey but it worth every penny as they say.  It is very warm, soft to touch and looks fabulous with a lurex hat etc.  It has that S.. and The City feel especially with a nice pair of high heel boots.",Luxurious Coat
15132,en,MJ111C00Y-708,"they are so lovely and fashionable! And so so comfortable! But a little to expensive, but their look compensate me that:)",Fab
15721,en,HA541A00E-102,"I bought these as I have really wide feet and already own a pair of Hanwag hiking boots which have given me years of comfortable service. I found the shoes slightly tighter than my boots, which are the same size and took the precaution of wearing them in for a couple of days round the house before going for a walk in them and had no problems. Ideally, the laces could be a couple of centimetres longer but  they are very well made, comfortable, with an excellent grippy sole and I'm sure will last me years.",Performance XCR shoes
15802,en,AI216C008-503,"Finally a good, plain pair of wellies for cool kids - that aren't cutsey. These are perfect for school trips/excursions to the country for the fashion-conscious kids of today. These wellies are fab, but the rubber stinks at first - just but them outside on the porch for a few days to air them out.",Cool wellies with warm lining
15873,en,PE122A00R-905,Smart jeans,Great
15915,en,TO121X01Y-704,I ordered the cardigan in a size XL (because I know that TH sometimes cuts really small) .... when it arrived I was shocked and everyone I showed the cardi with me - might as well was a size S ... max M BUT DEF NOT XL,correct fit: large - I don't think so
16013,en,WR111C002-704,this was exactly what I was looking for.  My wife was very pleased.  Thanks for the selection and the quick delivery,Mr
16062,en,B1111C00R-802,"Comfortable and stylish.  Not an UGG but hey, half the price.",Better than expected
16170,en,MI321X008-605,Fantastic winter coat!,Perfect
16484,en,AN621I01G-902,Verey nice put I should take smaller than my size,Nice
16523,en,NI144A01I-002,ok,"yes,it's ok"
16659,en,EM111C008-707,"boots arrived 6 days after ordering which was fine - very excited to get my new boots for my xmas present only to find that they had sent me the wrong style and the wrong size !!! no xmas present for me to open on xmas day  :(
very disappointed, on the positive side -  great quality boots",wrong order
16730,en,PI911Y00K-O11,They looked so nice but I couldn't even get them on so unfortunately they are going straight back :-(,Too small
16841,en,JE711C007-702,i luv this shoe so much not only because it is nice but very comfortable. i can even wear it to go shopping all day!!,best shoe ever!!
17244,en,SA312A006-708,"I was on the look out for some redwing boots and was a bit put off by the costs, then, I came across these. For £80 these are comfortable, well made and considerably cheaper.",Affordable boots that boast sttle
17668,en,CO422D001-802,"Medium size was larger than with some other brands but that was OK for me as have bought Converse before so knew this.

Overall very pleased with quality of product and delivery service from Zalando",Converse T Shirt
17780,en,GS154D002-703,"Smart, stylish and ideal for causual wear",New Rhames Belt Brown
17829,en,AR211A00C-707,"These shoes are hard  to get into - smaller and narrower than a true size. I ordered one whole size larger in the hope that the ""Porno"" pointy shoes might look halfway decent. But I was fooling myself. These shoes are not at all trendy they look cheap. Th",Tight squeeze
17844,en,ZA521G002-112,This doesn't really fit at all in any good way!,Just bad
18030,en,F1311C00R-802,These boots are black and not brown. I sent them back. How annoying.,Wrong colour
18207,en,AE751E00O-D11,very nice ring !,NICE ONE 
18493,en,GI111D009-002,"Really pleased with these slippers.  They are really warm while letting your feet breathe.  The latex sole gives good grip and the shape of the slipper covers quite alot of the foot.  There isn't much support with these slippers so if your looking to wear them as a day shoe for working in the house these probably aren't for you but as slippers for relaxing, these are great!",Little bit of luxury!
18515,en,MI511A00N-002,"Oh my goodness these are the best shoes in the whole wide world! 
There so beautiful!",Prettiest shoes in the world!
18930,en,LE221A008-902,"I'm quite tall so I find it difficult to find high waisted jeans that fit properly and are actually high waisted, but these were, they're really great and they won't wear out quickly so they're worth the money.",Really good
18937,en,RI213A00F-302,"As always Ricosta has come up trumps!  Trying to find well-made shoes with an excellent fit has become quite a mission; however, my daughter loves these, they are comfy and even have in insole that can be taken out and washed.  Highly recommended!",Lovely shoes by Ricosta
19006,en,NE211S02J-K11,"So comfy, very good trainers ",Brilliant 
19233,en,P2021K024-701,Briefs are extremely comfortable  and sexy to wear. They cling lightly and are blissfully tactile.  A most enjoyable experience.,smooth and sexy.
19247,en,V1021C02G-602,"This is a lovely dress, it fits really well and looks great.",Lovely dress
19430,en,PE211A00E-917,"this is my second pair of this style - they are so easy to wear with everything, and the floral, multicoloured design is a great way of adding a bit of colour to your wardrobe. I take a size 5 1/2, but ordered in size 6, as my feet are fairly broad, and this is a very pointed style. The slingback,with extra piece at heel, always stays put. All in all a great buy.",On trend & comfort too!
19515,en,PE211A01H-704,"The shoe is stylish up to date with the neutral colour, a little disappointed with the quality of the finish - the patent appears wringled in a number of places. For the price I would expect it to be perfect.  Cannot fault the look and comfort - excellent.",Classy
19731,en,E1871C003-355,"After looking for a new esprit duvet cover for a while, I was pleased when I came across this on Zalando. Amazing quality for the price.  Colours did not run when being washed in the washing machine, and the material also feels nice against the skin.
A great purchase that I would definitely recommend.","Beautiful, good value"
19748,en,CO554D009-102,"Hello                                                                                                                                             
I wish to buy this product.",choice
20193,en,BU211C033-704,Excellent service and excellent product to match....I am more than pleased with the boots and the service. I will definitely used Zalando again.,Excellent
20215,en,JA222D06M-503,"Lovely looking t-shirt (vintage), really soft and good quality material (thicker than your average t-shirt). Very impressed, and will be purchasing another for a different family member. Good price too!",Really good quality
20287,en,N1242A030-802,?? reply asap,can i wear this casually ?? on jeans
20713,en,MI422G00G-502,"The jacket was very tight fitting,the quality of the material was very poor,I buy Paul Smith cloths and Ted Baker I will not be purchaseing any of these products in the future.",Poor Quality
20720,en,4JO21H001-513,"Smart and warm coat for colder days - what more can one want?  Good length - mid thigh level, which covers you know what and yet is short enough to allow you to (try) to beat the kids at tag, cycling etc.",Nice winter coat
20871,en,4BE22D001-002,"This top looks really great with my chinos and boots, I fasten the top button for that preppy on trend look , and it looks great, its very different to other high street polo shirts it fits great and is ever so slightly looser I love it , plan to get a few more colours , great quality and worth very penny , you can really tell the difference with Benetton clothes reallly well made and worth the money ! And thanks zalando for bringing the menswear to the UK online as its available nowhere else !!! Bonus !",Cool..
21081,en,NI251A011-305,its not red ... Its orange,Colour
21243,en,4JO21D00A-917,"loved actual top but a few concerns -no labels attached to item so unsure as to it s origin was it a return /or a second ?
                                                                -over use of packaging to send one small cotton top -in a plastic bag surrounded by inflated plastic bags in an oversized cardboard box seemed a bit over protective and hardly necessary !",Kristina -Joules blouse
21269,en,AD542A05X-802,This shoe is epic it is so comfortable and is a hot basketball shoe,AMAZING
21411,en,ME411B00A-204,Like these a lot. Good foot support. Very stylish. Good colour. Under stated.,Mexx Babara 3
21505,en,N1241A0CR-K11,"Trainers are great, really comfortable, lovely colour. Recommend!!!",Very happy!!!
22172,en,BJ212C00G-102,"Shoes would have been great if the right size was sent.
I ordered size 7, size 6 arrived. I spoke to telesales they told me to order size 42 european. I did and these were size too big. As the order had taken 2 weeks by this point, and I needed the shoes for a reason I ended up with a size too small which i shall never be able to use again, and very sore feet!",Wrong sizes
22287,en,MO421D013-002,"I prefer longer line tops so was really excited to receive this one. The fabric is really soft and the detailing is cute. The price is expensive but finding the right sort of tops, with good fabric is difficult. I bought XS and am UK size 6-8 and it was HUGE. I could have adjusted the side seams to take it in from the bust downwards but really, if I'm spending that much, I shouldn't have to. Returned it. I really think Zalando need to add more info on sizing for individual items.",lovely top but way too big
22365,en,SO422D029-503,very nice.I like,Long Sleeve Top
22568,en,LA212A02H-502,well designed and smooth fit....whao,art steps
22631,en,AD542A1FL-C11,"still waiting for return label so i can return a pair of running shoes, because they were to small. it said 6 days but still waiting.could you tell me how long will i be waiting???",returns
23685,en,VA651D01K-802,"The belt is nice
But not for your usual jeans belt holes as its too narrow
I think full specifications should appear at point of selection of this product",Complete Specification
23953,en,TH341B058-102,"Great fit, good price, swift delivery. Would recommend this for any travel.",North Face Boulder Blouse
24486,en,TI315A00V-702,"Really stylish, simple design. Excellent service from Zalando.co.uk",Onitsuka Tiger Alty
24500,en,NI111A02Y-304,"When I looked at the photo I wasnt sure whether they would come out to be that colour or not, but they did. The reason I questioned this was the fact that they are called red, but they look more of a purple colour to me. They came in just under a week, I ordered them on a Sunday and they arrived the following saturday. Because I wasn't in they gave them to my neighbour, which was helpful. Overall I am pretty happy with the service and the trainers are great, really light and comfy.",Red? I would call the colour more of a purple.
24717,en,V1771B005-404,"soft to touch, and they dry you perfectly well. I recommend that people should try this type of a towel.",Vossen Towel
24928,en,HU822D012-812,"Poor quality material, faulty logo and would not use this company again as all three products purchased were faulty.",Disappointing
25088,en,ZI111A03E-051,"Shoes are excellent Im so satisfy, many thanks",dorra
25136,en,EV211A00Y-708,"I want to buy this shoes, my size is 3.5.Canyou help me check .",Like
25828,en,S3722G00X-909,"Good quality, nice fit.",Lovely
25970,en,WR121A014-954,"These wrangler jeans are true to size, nice cut and colour - the only disappointing aspect of the design is the pockets are not very deep and not much contrasting stitching, so they are rather plain , but overall a great pair of jeans for the wardrobe.",Classic jean
26019,en,JE311A00K-304,"Bought these shoes to wear with skinny jeans. I had to buy a larger size because my normal size was too tight at the toes, but the larger size fits well and I like them a lot.",Sizing quite small but a lovely shoe
26057,en,BM134B00S-918,Overall good product. The cream is very rich and the smell is nice although a bit overpowering for the first few minutes. The cream feels a bit sticky but once it penetrates the skin my hands are well moisturised.,Good product
26159,en,S7411B006-414,"Discovered these Oz-made 'Souls' Flip Flops in New Zealand in 2008 - brilliant! but sadly lost a pair on a beach in Bali!  So, VERY happy to rediscover that Zalando sells them!
Would definitely recommend them.",Recommend
26219,en,SA321I018-113,"This is a lovely quality jumper. It's a relaxed fit but not too big, a lovely shape and the neckline is not too high up. A great piece for those cold winter days, which goes with everything... scarves, short skirts or jeans.",Lovely Jumper
26555,en,AN611C050-103,"These boots are good quality, a good fit,  and are very comfortable.  However the ankles are baggy giving your leg a tree trunk appearance.  Heel not too high so good for work.",Beautiful but has baggy ankles
26930,en,MJ111C02A-708,"Absolutely gorgeous, beautiful colour and high quality leather. Cannot waith until autumn or winter as warm lining inside.",Fabulous!
27146,en,AD542A1XX-K11,Perfect!,Perfect
27217,en,AN651GA0C-Q11,"Beautiful, ordered two more different colours ",Happy
27562,en,KH122G01D-802,"Great service by Zalando, this is my first Khujo jacket and it really is a quality jacket. So much detail has been put into this. It is very warm and fits really well. The hood is detachable so I can wear other hooded tops with this. A great winter jacket that has style and warmth. I love my new jacket thanks.",Excellent quality
27975,en,SO511C00A-304,"The best pair of ankle boots I have ever had.  Fitted perfectly around my ankle (always find other boots too loose here) absolutely love them, just wish I had been quick enough to get them in black too...alas,  my size is no longer available.  Does anyone have a size 5 in black they want to sell???????",Ab Fab
28048,en,HE641B00M-502,This is £90 in Blacks.,Over priced on here
28334,en,AN621I029-404,The colour looks like it does in the photos (not always the case when buying online) and the fit is good.  Haven't washed it yet so not sire how it'll fare in the machine but so far so good.,Just like the pictures
28456,en,ZI111C09L-603,"This is a great boot and good quality for the price. It seems that they would last a long time. I didn't give them 5 stars for comfort and had to return them more for personal reasons: I have club feet and therefore have very thin ankles - the ankle area of the boot was too big on me and soft so it provided no support. They were also just a little too high, pushing my toes forward. On the design frontI gave them 4 stars as they are a very dark green, almost black and I would have preferred a more vibrant green. As I have said though, these are all personal problems and for someone else they would be lovely!",Just a little too high for me.
28606,en,ON543B01W-355,I was not very impressed by its quality for its price.  I would not say it does not meet the quality for the value.,not quality for its value
28800,en,MO312C019-802,I love the style of these boots with their distressed finish giving the impression someone has already worn them in for you! They give the impression of being smart and casual at the same time so work with whatever you wear. I feel they are going to have a long and happy relationship with my feet :),Charlie Chaplin Boots
28859,en,FL211C014-802,These boots are FABULOUS - beautifully styled and extremely comfortable to wear.  They are a great length - fitting almost on the knee. I trust this brand time and time again - well worth the extra money - and they are built to last! Great GREEN colour - not too bright and look fab in daylight and more of a smokey black in the evening. RECOMMEND to all Fly London fans.,Best yet FLY LONDON boots!!!!
29141,en,M3111C040-802,"Fab boot and excellent service, thank you",Boots
29159,en,TA911A01P-602,"A nice choice,different makes I'm very happy.",Mimi
29162,en,BI752E011-503,please with the item.,good product
29262,en,B2321K00Z-302,"lives upto its name. the only thing to be aware of, they are more like a pant than shorts. Saying that, they are very stylish and comfortable",lovely underwear
29480,en,AD542B115-302,"Not impressed - no attempt was ever made to deliver, then i got a refund out oif the blue. My advice would be; don't bother ordering from this company!",Item failed to arrive.... then I was given a refund - all I wanted was the goods!
30052,en,AS141A03S-002,"THE TENNIS SHOE IS GREAT, ARRIVED PROMPTLY,VERY COMFORTABLE AND THEY LOOK GOOD.HAVE RECOMMENDED  THEM TO MY FRIENDS AT THE TENNIS CLUB.",ASICS INDOOR CARPET SHOE
30357,en,L3344A00A-802,"They are amazing! Came in a parcel properly packed and secured, on time and been walking with them since. They are very comfortable and I'm very very happy with them.",Leki SoftLlite AS walking poles
30575,en,J1822J008-502,ordered a large  took 8 days get here...very small and i thouhgt it would be thicker..am sending back....disapointed....,OVERPRICED
30589,en,TA111A08S-802,Excellent shoe  good fit very comfortable,Fabulous Shoe
30764,en,PW222I004-604,"Delivered as promised ..service is excellent from the company .....The Item is as described nice color, quality Jumper for cold winters ...All in all I give 5/5",Peter Werth GARDNER - Jumper - olive Color
31178,en,KO121I02T-802,"I really liked this jumper and its shimmering colours, unfortunately i ordered the smallest size and felt that it was too big so had to return it.  If it came in a smaller size i would definately re order it!",Stunning Jumper
32376,en,HI122F030-502,"Stunning shirt, great detail, excellent value",Stunning
32466,en,J3523G005-503,FABULOUS COAT - A REAL EYE CATCHER.....MY DAUGHTER (age 5) had had so many compliments since purchasing this...........beautiful quality & true to size,jOTTUM - DOES IT AGAIN
32815,en,TE422I004-903,"Zealand's was the only shopping site with Ted 
Baker stock in range of sizes just before Christmas, so great choice and delivery quick and cheaper than other sites,",Review
32979,en,KW311C009-702,I have long wanted a pair of cowboy boots but been reluctant to purchase without trying them on.  Saw these and couldn't resist so awaited them with much trepidation but they are PERFECT!  Well made and superb quality.  I did order a half size larger as I have a wide foot and wanted to wear them with socks but I think the sizing is good generally.  I am absolutely thrilled with my boots and would recommend this make.,FABULOUS BOOTS
33186,en,DC322A004-952,"The Tinnu cut manages to combine a really close fit around upper legs and butt with shall I say ""room for manoeuvre"" where the fly studs are. So it's really comfortable whatever the state of play. These jeans are just right for the man who enjoys his masculinity. Striding the street, or strutting the dance floor, he'll get second glances.",Shapely Show
33206,en,PA611B02H-702,"I'm a real fan of Birkenstock. Can't take them off my feet.  The comfort is like nothing on earth. This particular one is very versatile, being a plain brown colour, but it still has a bit of pizazz with the inlaid pattern. Lovely.

Also, a bit about Zalando. Very impressed with their customer service. Needed to return a faulty item and they were very helpful. recommend the site",Fantastic shoes
33407,en,BU152D00F-802,If you have trousers waist size 36 you will need a Bugatti belt size 40 at least,Bugatti belts measure small!
33416,en,BU152D00K-802,Nice belt but too small so will have to return.  Seems to measure 2 inches smaller than advertised,Size 36 is more like size 34!
33466,en,JA222A04U-909,More skinny than slim,skinny
